left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,Activity
4.9,70.88,20.79,14.05,321.81,8.64,283.06,39.42,Sitting
359.1,70.11,20.96,14.33,322.18,8.99,283.09,40.6,Sitting
359.1,69.34,20.96,14.25,322.18,8.99,283.09,40.6,Sitting
358.37,69.34,21.02,14.25,322.18,8.99,283.09,40.47,Sitting
357.82,69.34,20.84,14.25,322.16,8.99,283.09,40.47,Sitting
349.0,69.34,20.84,14.25,322.16,8.99,283.09,40.41,Sitting
349.0,69.34,20.84,14.61,322.16,9.35,283.09,41.46,Sitting
349.0,69.34,20.47,14.61,322.53,9.33,283.12,42.93,Sitting
348.95,69.34,20.32,14.65,322.63,9.34,283.71,46.41,Sitting
348.95,69.34,20.32,14.65,322.63,9.34,283.71,46.41,Sitting
348.95,69.1,20.32,14.41,322.63,9.3,283.71,46.41,Sitting
348.95,69.1,20.32,14.41,322.63,9.3,283.71,46.41,Sitting
348.95,69.94,20.32,14.41,322.63,9.28,283.77,48.12,Sitting
348.91,69.94,20.17,14.45,322.88,9.32,283.77,49.6,Sitting
348.91,70.78,19.81,14.81,322.89,9.68,284.08,50.51,Sitting
357.19,70.61,19.64,14.81,322.88,9.68,284.08,50.51,Sitting
357.19,70.61,19.64,15.17,322.88,10.06,284.08,49.73,Sitting
357.19,70.61,19.27,15.17,323.1,10.06,284.66,49.73,Sitting
357.47,70.61,19.24,15.17,322.85,10.06,284.66,49.73,Sitting
357.47,70.61,19.24,15.17,322.85,10.08,284.66,48.15,Sitting
359.12,70.61,19.37,15.17,322.86,10.08,284.66,48.15,Sitting
359.08,70.61,19.23,15.17,323.1,10.1,284.66,46.62,Sitting
359.08,70.43,19.33,15.21,323.0,10.15,284.06,48.22,Sitting
359.08,71.31,19.33,15.17,323.0,10.08,284.06,48.22,Sitting
359.08,71.31,19.33,15.17,323.0,10.08,284.06,48.22,Sitting
358.61,70.43,19.37,15.21,323.0,10.17,284.0,47.05,Sitting
359.12,70.43,19.47,15.21,322.9,10.17,283.4,47.05,Sitting
359.12,72.12,19.47,15.29,323.26,10.55,283.13,49.16,Sitting
